N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.769288,0.101828743761
100,4,1,2,0.842414,0.098540806796
100,4,1,3,0.932482,0.101111748457
100,4,2,1,0.824778,0.109436596786
100,4,3,1,0.959814,0.131108288846
100,4,2,2,0.794352,0.0921953366283
100,4,3,3,0.860482,0.120445646148
100,8,1,1,0.743676,0.0691770122512
100,8,1,2,0.823436,0.0665584397654
100,8,1,3,0.931832,0.138206786288
100,8,2,1,0.780044,0.111554229252
100,8,3,1,0.930142,0.11776059543
100,8,2,2,0.73856,0.0751487218787
100,8,3,3,0.824356,0.111970180245
398,8,1,1,1.530838,0.0618420872546
398,8,1,2,1.718484,0.168021468105
398,8,1,3,2.131506,0.152650731947
398,8,2,1,1.63482,0.143782055904
398,8,3,1,1.997714,0.27281120249
398,8,2,2,1.295272,0.0919729417601
398,8,3,3,1.356754,0.147082866045
