N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,1.291808,0.0734352172735
100,4,1,2,1.389466,0.0844683896141
100,4,1,3,1.44773,0.0909756071703
100,4,2,1,1.516398,0.143300689447
100,4,3,1,1.62379,0.131491284502
100,4,2,2,1.407838,0.0776157957893
100,4,3,3,1.542708,0.0859765010686
100,8,1,1,1.213738,0.042519564391
100,8,1,2,1.320542,0.0523309109036
100,8,1,3,1.388954,0.127466999196
100,8,2,1,1.487598,0.110462900541
100,8,3,1,1.521442,0.084250024546
100,8,2,2,1.372294,0.0597911997204
100,8,3,3,1.515596,0.0940621113095
398,8,1,1,1.989816,0.108351161249
398,8,1,2,2.450516,0.197859035033
398,8,1,3,2.62465,0.23229507851
398,8,2,1,2.595678,0.263167076809
398,8,3,1,2.665306,0.139550723266
398,8,2,2,2.014336,0.192950198507
398,8,3,3,2.189076,0.118764145364
