N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,1.260234,0.0327262470198
100,4,1,2,1.340582,0.0516524082304
100,4,1,3,1.465956,0.0258898834296
100,4,2,1,1.540584,0.031409153825
100,4,3,1,1.597024,0.0306994368678
100,4,2,2,1.394554,0.0349459451725
100,4,3,3,1.563978,0.0559399813729
100,8,1,1,1.211378,0.0848733828476
100,8,1,2,1.316544,0.0506852253028
100,8,1,3,1.44441,0.0233253060001
100,8,2,1,1.522538,0.0320096322378
100,8,3,1,1.575516,0.0297271213541
100,8,2,2,1.38369,0.0409153504201
100,8,3,3,1.564262,0.0293016954458
398,8,1,1,2.038816,0.0305779355745
398,8,1,2,2.481502,0.10924963156
398,8,1,3,2.768048,0.0589783154727
398,8,2,1,2.689894,0.0593821754738
398,8,3,1,2.681832,0.0422578723553
398,8,2,2,1.945652,0.0546379620411
398,8,3,3,2.169292,0.0318856509421
