N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.772798,0.0980669220278
100,4,1,2,0.846082,0.0833977174508
100,4,1,3,0.955434,0.0898171567352
100,4,2,1,0.842804,0.0648250073968
100,4,3,1,0.94869,0.0878690952497
100,4,2,2,0.78957,0.114292366762
100,4,3,3,0.854992,0.115451114919
100,8,1,1,0.740346,0.0636103315822
100,8,1,2,0.830366,0.105464439713
100,8,1,3,0.932984,0.128762260558
100,8,2,1,0.789764,0.122027391614
100,8,3,1,0.917728,0.109017585811
100,8,2,2,0.711952,0.113187126901
100,8,3,3,0.834878,0.13548291079
398,8,1,1,1.533418,0.0750388651034
398,8,1,2,1.73857,0.0693572281741
398,8,1,3,2.10228,0.0967941609809
398,8,2,1,1.594318,0.0994128003629
398,8,3,1,2.102228,0.148234071711
398,8,2,2,1.328798,0.133702016425
398,8,3,3,1.356276,0.080032992097
